Chr	Start	End	CE_start	CE_end
chr1	1	206961486	233123	8767281
chr2	1	188881415	619322	8377409
chr3	1	162564770	668230	11065775
chr4	1	158377951	910601	3444497
chr5	1	162454759	406339	582187
chr6	1	151688775	180884	11237596
chr7	1	159083935	180884	8293262
chr8	1	141298708	707035	12962143
chr9	1	132600537	180884	12364756
chr10	1	136071582	180884	9978481
chr11	1	129838740	180884	7774620
chr12	1	121771411	180884	9167772
chr13	1	128891460	80740	5262271
chr14	1	132554820	12362	2805691
chr15	1	109925427	180884	8959464
chr16	1	109580749	147214	458900
chr17	1	104712397	269819	18171539
chr18	1	98089046	281012	12790026
chr19	1	66578199	78417	11101298
chrx	1	170983574	147214	458900
